Trade #,Type,Signal,Date/Time,Price,Contracts,Profit,Cumulative Profit,RSI 14,K_14,D_3
141,Exit long,Open,"Feb 16, 2024, 22:55","5,014.50",4,-4550,97800,45.3125,14.28571429,14.7859625
141,Entry long,L,"Feb 16, 2024, 14:35","5,037.25",4,,,19.62616822,12.79069767,9.069004241
140,Exit short,L,"Feb 16, 2024, 14:35","5,037.25",4,3250,102350,19.62616822,12.79069767,9.069004241
140,Entry short,S,"Feb 16, 2024, 10:00","5,053.50",4,,,75,93.10344828,89.65517241
139,Exit long,S,"Feb 16, 2024, 10:00","5,053.50",4,7650,99100,75,93.10344828,89.65517241
139,Entry long,L,"Feb 15, 2024, 3:45","5,015.25",4,,,75,83.33333333,88.88888889
138,Exit short,L,"Feb 15, 2024, 3:45","5,015.25",4,650,91450,75,83.33333333,88.88888889
138,Entry short,S,"Feb 15, 2024, 0:35","5,018.50",4,,,33.33333333,33.33333333,33.33333333
137,Exit long,S,"Feb 15, 2024, 0:35","5,018.50",4,5300,90800,33.33333333,33.33333333,33.33333333
137,Entry long,L,"Feb 14, 2024, 15:00","4,992.00",4,,,44.76190476,7.894736842,11.45224172
136,Exit short,L,"Feb 14, 2024, 15:00","4,992.00",4,-4450,85500,44.76190476,7.894736842,11.45224172
136,Entry short,S,"Feb 14, 2024, 1:20","4,969.75",4,,,40,5.882352941,13.07189542
135,Exit long,S,"Feb 14, 2024, 1:20","4,969.75",4,-14100,89950,40,5.882352941,13.07189542
135,Entry long,L,"Feb 12, 2024, 21:25","5,040.25",4,,,63.15789474,63.63636364,48.73312962
134,Exit short,L,"Feb 12, 2024, 21:25","5,040.25",4,3650,104050,63.15789474,63.63636364,48.73312962
134,Entry short,S,"Feb 12, 2024, 17:20","5,058.50",4,,,93.24324324,94.52054795,92.17770885
133,Exit long,S,"Feb 12, 2024, 17:20","5,058.50",4,2900,100400,93.24324324,94.52054795,92.17770885
133,Entry long,L,"Feb 12, 2024, 1:50","5,044.00",4,,,59.09090909,83.33333333,87.40740741
132,Exit short,L,"Feb 12, 2024, 1:50","5,044.00",4,-4200,97500,59.09090909,83.33333333,87.40740741
132,Entry short,S,"Feb 09, 2024, 9:30","5,023.00",4,,,78.26086957,100,93.33333333
131,Exit long,S,"Feb 09, 2024, 9:30","5,023.00",4,1700,101700,78.26086957,100,93.33333333
131,Entry long,L,"Feb 09, 2024, 3:20","5,014.50",4,,,56,75,62.5
130,Exit short,L,"Feb 09, 2024, 3:20","5,014.50",4,-650,100000,56,75,62.5
130,Entry short,S,"Feb 08, 2024, 17:00","5,011.25",4,,,48.86363636,62.16216216,83.78378378
129,Exit long,S,"Feb 08, 2024, 17:00","5,011.25",4,450,100650,48.86363636,62.16216216,83.78378378
129,Entry long,L,"Feb 08, 2024, 11:50","5,009.00",4,,,21.42857143,0,4.647435897
128,Exit short,L,"Feb 08, 2024, 11:50","5,009.00",4,-3850,100200,21.42857143,0,4.647435897
128,Entry short,S,"Feb 07, 2024, 14:35","4,989.75",4,,,90.4109589,95.23809524,92.73881674
127,Exit long,S,"Feb 07, 2024, 14:35","4,989.75",4,2950,104050,90.4109589,95.23809524,92.73881674
127,Entry long,L,"Feb 07, 2024, 6:15","4,975.00",4,,,50,66.66666667,42.85714286
126,Exit short,L,"Feb 07, 2024, 6:15","4,975.00",4,1350,101100,50,66.66666667,42.85714286
126,Entry short,S,"Feb 07, 2024, 2:40","4,981.75",4,,,76.78571429,84.7826087,86.95652174
125,Exit long,S,"Feb 07, 2024, 2:40","4,981.75",4,4150,99750,76.78571429,84.7826087,86.95652174
125,Entry long,L,"Feb 06, 2024, 1:55","4,961.00",4,,,73.91304348,88.23529412,88.23529412
124,Exit short,L,"Feb 06, 2024, 1:55","4,961.00",4,3100,95600,73.91304348,88.23529412,88.23529412
124,Entry short,S,"Feb 05, 2024, 20:45","4,976.50",4,,,79.72972973,93.10344828,87.99424431
123,Exit long,S,"Feb 05, 2024, 20:45","4,976.50",4,700,92500,79.72972973,93.10344828,87.99424431
123,Entry long,L,"Feb 05, 2024, 1:15","4,973.00",4,,,33.87096774,26.31578947,56.7821994
122,Exit short,L,"Feb 05, 2024, 1:15","4,973.00",4,800,91800,33.87096774,26.31578947,56.7821994
122,Entry short,S,"Feb 02, 2024, 19:10","4,977.00",4,,,53.78151261,73.73737374,67.34006734
121,Exit long,S,"Feb 02, 2024, 19:10","4,977.00",4,4350,91000,53.78151261,73.73737374,67.34006734
121,Entry long,L,"Feb 02, 2024, 4:30","4,955.25",4,,,40.74074074,0,25
120,Exit short,L,"Feb 02, 2024, 4:30","4,955.25",4,-6050,86650,40.74074074,0,25
120,Entry short,S,"Feb 01, 2024, 21:30","4,925.00",4,,,71.18644068,89.47368421,84.21052632
119,Exit long,S,"Feb 01, 2024, 21:30","4,925.00",4,9900,92700,71.18644068,89.47368421,84.21052632
119,Entry long,L,"Feb 01, 2024, 8:10","4,875.50",4,,,34.48275862,25,19.5970696
118,Exit short,L,"Feb 01, 2024, 8:10","4,875.50",4,1650,82800,34.48275862,25,19.5970696
118,Entry short,S,"Feb 01, 2024, 3:10","4,883.75",4,,,60.37735849,88.46153846,91.02564103
117,Exit long,S,"Feb 01, 2024, 3:10","4,883.75",4,-8500,81150,60.37735849,88.46153846,91.02564103
117,Entry long,L,"Jan 31, 2024, 13:40","4,926.25",4,,,46,36.84210526,27.76057792
116,Exit short,L,"Jan 31, 2024, 13:40","4,926.25",4,2100,89650,46,36.84210526,27.76057792
116,Entry short,S,"Jan 31, 2024, 9:25","4,936.75",4,,,75,82.14285714,91.38304225
115,Exit long,S,"Jan 31, 2024, 9:25","4,936.75",4,300,87550,75,82.14285714,91.38304225
115,Entry long,L,"Jan 30, 2024, 22:45","4,935.25",4,,,27.20588235,3.797468354,6.762014357
114,Exit short,L,"Jan 30, 2024, 22:45","4,935.25",4,3750,87250,27.20588235,3.797468354,6.762014357
114,Entry short,S,"Jan 30, 2024, 18:10","4,954.00",4,,,77.55102041,83.33333333,87.01452212
113,Exit long,S,"Jan 30, 2024, 18:10","4,954.00",4,-50,83500,77.55102041,83.33333333,87.01452212
113,Entry long,L,"Jan 30, 2024, 3:35","4,954.25",4,,,45.83333333,55.55555556,44.44444444
112,Exit short,L,"Jan 30, 2024, 3:35","4,954.25",4,-8600,83550,45.83333333,55.55555556,44.44444444
112,Entry short,S,"Jan 29, 2024, 4:40","4,911.25",4,,,56.75675676,46.66666667,31.11111111
111,Exit long,S,"Jan 29, 2024, 4:40","4,911.25",4,-650,92150,56.75675676,46.66666667,31.11111111
111,Entry long,L,"Jan 26, 2024, 19:05","4,914.50",4,,,27.3381295,23.59550562,17.97752809
110,Exit short,L,"Jan 26, 2024, 19:05","4,914.50",4,50,92800,27.3381295,23.59550562,17.97752809
110,Entry short,S,"Jan 26, 2024, 11:15","4,914.75",4,,,89.09090909,95.91836735,87.94763188
109,Exit long,S,"Jan 26, 2024, 11:15","4,914.75",4,1800,92750,89.09090909,95.91836735,87.94763188
109,Entry long,L,"Jan 25, 2024, 19:25","4,905.75",4,,,41.22807018,16,10
108,Exit short,L,"Jan 25, 2024, 19:25","4,905.75",4,-600,90950,41.22807018,16,10
108,Entry short,S,"Jan 25, 2024, 8:10","4,902.75",4,,,66.66666667,100,82.05128205
107,Exit long,S,"Jan 25, 2024, 8:10","4,902.75",4,-550,91550,66.66666667,100,82.05128205
107,Entry long,L,"Jan 24, 2024, 4:45","4,905.50",4,,,66.66666667,66.66666667,77.77777778
106,Exit short,L,"Jan 24, 2024, 4:45","4,905.50",4,-2900,92100,66.66666667,66.66666667,77.77777778
106,Entry short,S,"Jan 23, 2024, 21:30","4,891.00",4,,,72.30769231,64.9122807,72.51461988
105,Exit long,S,"Jan 23, 2024, 21:30","4,891.00",4,2800,95000,72.30769231,64.9122807,72.51461988
105,Entry long,L,"Jan 23, 2024, 18:30","4,877.00",4,,,53.03030303,40.74074074,41.97530864
104,Exit short,L,"Jan 23, 2024, 18:30","4,877.00",4,2300,92200,53.03030303,40.74074074,41.97530864
104,Entry short,S,"Jan 23, 2024, 14:25","4,888.50",4,,,69.09090909,100,87.71043771
103,Exit long,S,"Jan 23, 2024, 14:25","4,888.50",4,750,89900,69.09090909,100,87.71043771
103,Entry long,L,"Jan 22, 2024, 17:50","4,884.75",4,,,47.61904762,77.55102041,61.00185529
102,Exit short,L,"Jan 22, 2024, 17:50","4,884.75",4,-3050,89150,47.61904762,77.55102041,61.00185529
102,Entry short,S,"Jan 19, 2024, 20:10","4,869.50",4,,,96.15384615,97,97.85443583
101,Exit long,S,"Jan 19, 2024, 20:10","4,869.50",4,11050,92200,96.15384615,97,97.85443583
101,Entry long,L,"Jan 19, 2024, 5:50","4,814.25",4,,,42.10526316,12.5,33.33333333
100,Exit short,L,"Jan 19, 2024, 5:50","4,814.25",4,-350,81150,42.10526316,12.5,33.33333333
100,Entry short,S,"Jan 18, 2024, 22:50","4,812.50",4,,,58.92857143,57.14285714,55.21783181
99,Exit long,S,"Jan 18, 2024, 22:50","4,812.50",4,4200,81500,58.92857143,57.14285714,55.21783181
99,Entry long,L,"Jan 18, 2024, 17:20","4,791.50",4,,,56.58914729,75,64.88095238
98,Exit short,L,"Jan 18, 2024, 17:20","4,791.50",4,-1000,77300,56.58914729,75,64.88095238
98,Entry short,S,"Jan 18, 2024, 12:50","4,786.50",4,,,83.09859155,86.66666667,90.59139785
97,Exit long,S,"Jan 18, 2024, 12:50","4,786.50",4,4150,78300,83.09859155,86.66666667,90.59139785
97,Entry long,L,"Jan 18, 2024, 5:20","4,765.75",4,,,37.5,14.28571429,15.87301587
96,Exit short,L,"Jan 18, 2024, 5:20","4,765.75",4,850,74150,37.5,14.28571429,15.87301587
96,Entry short,S,"Jan 18, 2024, 0:35","4,770.00",4,,,52.94117647,80,80
95,Exit long,S,"Jan 18, 2024, 0:35","4,770.00",4,-4050,73300,52.94117647,80,80
95,Entry long,L,"Jan 17, 2024, 4:10","4,790.25",4,,,26.47058824,17.39130435,17.39130435
94,Exit short,L,"Jan 17, 2024, 4:10","4,790.25",4,1400,77350,26.47058824,17.39130435,17.39130435
94,Entry short,S,"Jan 17, 2024, 1:25","4,797.25",4,,,42.85714286,26.31578947,28.07017544
93,Exit long,S,"Jan 17, 2024, 1:25","4,797.25",4,2250,75950,42.85714286,26.31578947,28.07017544
93,Entry long,L,"Jan 16, 2024, 20:35","4,786.00",4,,,28.45528455,29.88505747,29.11877395
92,Exit short,L,"Jan 16, 2024, 20:35","4,786.00",4,2450,73700,28.45528455,29.88505747,29.11877395
92,Entry short,S,"Jan 16, 2024, 13:25","4,798.25",4,,,70.83333333,94.87179487,74.35897436
91,Exit long,S,"Jan 16, 2024, 13:25","4,798.25",4,-2450,71250,70.83333333,94.87179487,74.35897436
91,Entry long,L,"Jan 15, 2024, 9:55","4,810.50",4,,,28.76712329,0,6.834733894
90,Exit short,L,"Jan 15, 2024, 9:55","4,810.50",4,1300,73700,28.76712329,0,6.834733894
90,Entry short,S,"Jan 15, 2024, 4:10","4,817.00",4,,,84.61538462,77.77777778,80.46737213
89,Exit long,S,"Jan 15, 2024, 4:10","4,817.00",4,1500,72400,84.61538462,77.77777778,80.46737213
89,Entry long,L,"Jan 12, 2024, 3:30","4,809.50",4,,,77.5,89.65517241,94.21182266
88,Exit short,L,"Jan 12, 2024, 3:30","4,809.50",4,200,70900,77.5,89.65517241,94.21182266
88,Entry short,S,"Jan 11, 2024, 21:20","4,810.50",4,,,51.58730159,34.92063492,35.15144336
87,Exit long,S,"Jan 11, 2024, 21:20","4,810.50",4,-3400,70700,51.58730159,34.92063492,35.15144336
87,Entry long,L,"Jan 11, 2024, 2:15","4,827.50",4,,,82.22222222,100,95.14991182
86,Exit short,L,"Jan 11, 2024, 2:15","4,827.50",4,-200,74100,82.22222222,100,95.14991182
86,Entry short,S,"Jan 10, 2024, 21:00","4,826.50",4,,,89.33333333,92.75362319,94.35461896
85,Exit long,S,"Jan 10, 2024, 21:00","4,826.50",4,6700,74300,89.33333333,92.75362319,94.35461896
85,Entry long,L,"Jan 10, 2024, 14:35","4,793.00",4,,,40,40,42.66666667
84,Exit short,L,"Jan 10, 2024, 14:35","4,793.00",4,-1700,67600,40,40,42.66666667
84,Entry short,S,"Jan 09, 2024, 17:15","4,784.50",4,,,63.55140187,85.36585366,83.42604479
83,Exit long,S,"Jan 09, 2024, 17:15","4,784.50",4,-2550,69300,63.55140187,85.36585366,83.42604479
83,Entry long,L,"Jan 09, 2024, 2:00","4,797.25",4,,,52.17391304,33.33333333,26.38888889
82,Exit short,L,"Jan 09, 2024, 2:00","4,797.25",4,-10250,71850,52.17391304,33.33333333,26.38888889
82,Entry short,S,"Jan 08, 2024, 15:45","4,746.00",4,,,69.31818182,84.12698413,82.80935313
81,Exit long,S,"Jan 08, 2024, 15:45","4,746.00",4,2800,82100,69.31818182,84.12698413,82.80935313
81,Entry long,L,"Jan 08, 2024, 5:25","4,732.00",4,,,40,50,47.77777778
80,Exit short,L,"Jan 08, 2024, 5:25","4,732.00",4,1950,79300,40,50,47.77777778
80,Entry short,S,"Jan 08, 2024, 2:25","4,741.75",4,,,52.77777778,57.14285714,78.73015873
79,Exit long,S,"Jan 08, 2024, 2:25","4,741.75",4,3650,77350,52.77777778,57.14285714,78.73015873
79,Entry long,L,"Jan 05, 2024, 20:55","4,723.50",4,,,20.18348624,7.368421053,5.476083371
78,Exit short,L,"Jan 05, 2024, 20:55","4,723.50",4,2550,73700,20.18348624,7.368421053,5.476083371
78,Entry short,S,"Jan 05, 2024, 15:30","4,736.25",4,,,64.47368421,98.56115108,95.49834513
77,Exit long,S,"Jan 05, 2024, 15:30","4,736.25",4,-700,71150,64.47368421,98.56115108,95.49834513
77,Entry long,L,"Jan 04, 2024, 21:15","4,739.75",4,,,40.7079646,25,46.73758865
76,Exit short,L,"Jan 04, 2024, 21:15","4,739.75",4,5800,71850,40.7079646,25,46.73758865
76,Entry short,S,"Jan 03, 2024, 20:25","4,768.75",4,,,56.55172414,86.95652174,66.67781494
75,Exit long,S,"Jan 03, 2024, 20:25","4,768.75",4,-3050,66050,56.55172414,86.95652174,66.67781494
75,Entry long,L,"Jan 03, 2024, 5:40","4,784.00",4,,,23.07692308,30,17.40740741
74,Exit short,L,"Jan 03, 2024, 5:40","4,784.00",4,400,69100,23.07692308,30,17.40740741
74,Entry short,S,"Jan 03, 2024, 2:10","4,786.00",4,,,27.27272727,7.142857143,16.66666667
73,Exit long,S,"Jan 03, 2024, 2:10","4,786.00",4,-5900,68700,27.27272727,7.142857143,16.66666667
73,Entry long,L,"Jan 02, 2024, 11:05","4,815.50",4,,,14.51612903,4.255319149,8.362884161
72,Exit short,L,"Jan 02, 2024, 11:05","4,815.50",4,-250,74600,14.51612903,4.255319149,8.362884161
72,Entry short,S,"Dec 29, 2023, 22:05","4,814.25",4,,,43.04635762,37.5,49.4047619
71,Exit long,S,"Dec 29, 2023, 22:05","4,814.25",4,-5200,74850,43.04635762,37.5,49.4047619
71,Entry long,L,"Dec 28, 2023, 7:00","4,840.25",4,,,63.63636364,87.5,66.66666667
70,Exit short,L,"Dec 28, 2023, 7:00","4,840.25",4,-850,80050,63.63636364,87.5,66.66666667
70,Entry short,S,"Dec 28, 2023, 1:25","4,836.00",4,,,57.14285714,91.66666667,86.11111111
69,Exit long,S,"Dec 28, 2023, 1:25","4,836.00",4,5100,80900,57.14285714,91.66666667,86.11111111
69,Entry long,L,"Dec 22, 2023, 19:55","4,810.50",4,,,43.90243902,9.090909091,33.66522367
68,Exit short,L,"Dec 22, 2023, 19:55","4,810.50",4,-850,75800,43.90243902,9.090909091,33.66522367
68,Entry short,S,"Dec 22, 2023, 15:25","4,806.25",4,,,66.31578947,90.54054054,92.79279279
67,Exit long,S,"Dec 22, 2023, 15:25","4,806.25",4,3300,76650,66.31578947,90.54054054,92.79279279
67,Entry long,L,"Dec 22, 2023, 3:45","4,789.75",4,,,38.70967742,41.66666667,22.93650794
66,Exit short,L,"Dec 22, 2023, 3:45","4,789.75",4,1400,73350,38.70967742,41.66666667,22.93650794
66,Entry short,S,"Dec 21, 2023, 22:45","4,796.75",4,,,71.92982456,85,87.7997076
65,Exit long,S,"Dec 21, 2023, 22:45","4,796.75",4,5250,71950,71.92982456,85,87.7997076
65,Entry long,L,"Dec 21, 2023, 12:35","4,770.50",4,,,47.16981132,20,33.33333333
64,Exit short,L,"Dec 21, 2023, 12:35","4,770.50",4,-1850,66700,47.16981132,20,33.33333333
64,Entry short,S,"Dec 21, 2023, 4:00","4,761.25",4,,,78.57142857,94.11764706,90.19607843
63,Exit long,S,"Dec 21, 2023, 4:00","4,761.25",4,-1450,68550,78.57142857,94.11764706,90.19607843
63,Entry long,L,"Dec 20, 2023, 21:00","4,768.50",4,,,4.858299595,1.762114537,10.80703574
62,Exit short,L,"Dec 20, 2023, 21:00","4,768.50",4,11250,70000,4.858299595,1.762114537,10.80703574
62,Entry short,S,"Dec 20, 2023, 16:35","4,824.75",4,,,87.01298701,87.83783784,91.73016173
61,Exit long,S,"Dec 20, 2023, 16:35","4,824.75",4,2600,58750,87.01298701,87.83783784,91.73016173
61,Entry long,L,"Dec 19, 2023, 21:05","4,811.75",4,,,41.66666667,25,30.55555556
60,Exit short,L,"Dec 19, 2023, 21:05","4,811.75",4,100,56150,41.66666667,25,30.55555556
60,Entry short,S,"Dec 19, 2023, 16:30","4,812.25",4,,,86.41975309,96.92307692,94.23562947
59,Exit long,S,"Dec 19, 2023, 16:30","4,812.25",4,7550,56050,86.41975309,96.92307692,94.23562947
59,Entry long,L,"Dec 18, 2023, 9:20","4,774.50",4,,,30.43478261,3.225806452,12.18637993
58,Exit short,L,"Dec 18, 2023, 9:20","4,774.50",4,500,48500,30.43478261,3.225806452,12.18637993
58,Entry short,S,"Dec 18, 2023, 1:30","4,777.00",4,,,87.17948718,88.23529412,94.11764706
57,Exit long,S,"Dec 18, 2023, 1:30","4,777.00",4,-1650,48000,87.17948718,88.23529412,94.11764706