Trade #,Type,Signal,Date/Time,Price,Contracts
141,Exit long,Open,"Feb 16, 2024, 22:55","5,014.50",4
141,Entry long,L,"Feb 16, 2024, 14:35","5,037.25",4
140,Exit short,L,"Feb 16, 2024, 14:35","5,037.25",4
140,Entry short,S,"Feb 16, 2024, 10:00","5,053.50",4
139,Exit long,S,"Feb 16, 2024, 10:00","5,053.50",4
139,Entry long,L,"Feb 15, 2024, 03:45","5,015.25",4
138,Exit short,L,"Feb 15, 2024, 03:45","5,015.25",4
138,Entry short,S,"Feb 15, 2024, 00:35","5,018.50",4
137,Exit long,S,"Feb 15, 2024, 00:35","5,018.50",4
137,Entry long,L,"Feb 14, 2024, 15:00","4,992.00",4
136,Exit short,L,"Feb 14, 2024, 15:00","4,992.00",4
136,Entry short,S,"Feb 14, 2024, 01:20","4,969.75",4
135,Exit long,S,"Feb 14, 2024, 01:20","4,969.75",4
135,Entry long,L,"Feb 12, 2024, 21:25","5,040.25",4
134,Exit short,L,"Feb 12, 2024, 21:25","5,040.25",4
134,Entry short,S,"Feb 12, 2024, 17:20","5,058.50",4
133,Exit long,S,"Feb 12, 2024, 17:20","5,058.50",4
133,Entry long,L,"Feb 12, 2024, 01:50","5,044.00",4
132,Exit short,L,"Feb 12, 2024, 01:50","5,044.00",4
132,Entry short,S,"Feb 09, 2024, 09:30","5,023.00",4
131,Exit long,S,"Feb 09, 2024, 09:30","5,023.00",4
131,Entry long,L,"Feb 09, 2024, 03:20","5,014.50",4
130,Exit short,L,"Feb 09, 2024, 03:20","5,014.50",4
130,Entry short,S,"Feb 08, 2024, 17:00","5,011.25",4
129,Exit long,S,"Feb 08, 2024, 17:00","5,011.25",4
129,Entry long,L,"Feb 08, 2024, 11:50","5,009.00",4
128,Exit short,L,"Feb 08, 2024, 11:50","5,009.00",4
128,Entry short,S,"Feb 07, 2024, 14:35","4,989.75",4
127,Exit long,S,"Feb 07, 2024, 14:35","4,989.75",4
127,Entry long,L,"Feb 07, 2024, 06:15","4,975.00",4
126,Exit short,L,"Feb 07, 2024, 06:15","4,975.00",4
126,Entry short,S,"Feb 07, 2024, 02:40","4,981.75",4
125,Exit long,S,"Feb 07, 2024, 02:40","4,981.75",4
125,Entry long,L,"Feb 06, 2024, 01:55","4,961.00",4
124,Exit short,L,"Feb 06, 2024, 01:55","4,961.00",4
124,Entry short,S,"Feb 05, 2024, 20:45","4,976.50",4
123,Exit long,S,"Feb 05, 2024, 20:45","4,976.50",4
123,Entry long,L,"Feb 05, 2024, 01:15","4,973.00",4
122,Exit short,L,"Feb 05, 2024, 01:15","4,973.00",4
122,Entry short,S,"Feb 02, 2024, 19:10","4,977.00",4
121,Exit long,S,"Feb 02, 2024, 19:10","4,977.00",4
121,Entry long,L,"Feb 02, 2024, 04:30","4,955.25",4
120,Exit short,L,"Feb 02, 2024, 04:30","4,955.25",4
120,Entry short,S,"Feb 01, 2024, 21:30","4,925.00",4
119,Exit long,S,"Feb 01, 2024, 21:30","4,925.00",4
119,Entry long,L,"Feb 01, 2024, 08:10","4,875.50",4
118,Exit short,L,"Feb 01, 2024, 08:10","4,875.50",4
118,Entry short,S,"Feb 01, 2024, 03:10","4,883.75",4
117,Exit long,S,"Feb 01, 2024, 03:10","4,883.75",4
117,Entry long,L,"Jan 31, 2024, 13:40","4,926.25",4
116,Exit short,L,"Jan 31, 2024, 13:40","4,926.25",4
116,Entry short,S,"Jan 31, 2024, 09:25","4,936.75",4
115,Exit long,S,"Jan 31, 2024, 09:25","4,936.75",4
115,Entry long,L,"Jan 30, 2024, 22:45","4,935.25",4
114,Exit short,L,"Jan 30, 2024, 22:45","4,935.25",4
114,Entry short,S,"Jan 30, 2024, 18:10","4,954.00",4
113,Exit long,S,"Jan 30, 2024, 18:10","4,954.00",4
113,Entry long,L,"Jan 30, 2024, 03:35","4,954.25",4
112,Exit short,L,"Jan 30, 2024, 03:35","4,954.25",4
112,Entry short,S,"Jan 29, 2024, 04:40","4,911.25",4
111,Exit long,S,"Jan 29, 2024, 04:40","4,911.25",4
111,Entry long,L,"Jan 26, 2024, 19:05","4,914.50",4
110,Exit short,L,"Jan 26, 2024, 19:05","4,914.50",4
110,Entry short,S,"Jan 26, 2024, 11:15","4,914.75",4
109,Exit long,S,"Jan 26, 2024, 11:15","4,914.75",4
109,Entry long,L,"Jan 25, 2024, 19:25","4,905.75",4
108,Exit short,L,"Jan 25, 2024, 19:25","4,905.75",4
108,Entry short,S,"Jan 25, 2024, 08:10","4,902.75",4
107,Exit long,S,"Jan 25, 2024, 08:10","4,902.75",4
107,Entry long,L,"Jan 24, 2024, 04:45","4,905.50",4
106,Exit short,L,"Jan 24, 2024, 04:45","4,905.50",4
106,Entry short,S,"Jan 23, 2024, 21:30","4,891.00",4
105,Exit long,S,"Jan 23, 2024, 21:30","4,891.00",4
105,Entry long,L,"Jan 23, 2024, 18:30","4,877.00",4
104,Exit short,L,"Jan 23, 2024, 18:30","4,877.00",4
104,Entry short,S,"Jan 23, 2024, 14:25","4,888.50",4
103,Exit long,S,"Jan 23, 2024, 14:25","4,888.50",4
103,Entry long,L,"Jan 22, 2024, 17:50","4,884.75",4
102,Exit short,L,"Jan 22, 2024, 17:50","4,884.75",4
102,Entry short,S,"Jan 19, 2024, 20:10","4,869.50",4
101,Exit long,S,"Jan 19, 2024, 20:10","4,869.50",4
101,Entry long,L,"Jan 19, 2024, 05:50","4,814.25",4
100,Exit short,L,"Jan 19, 2024, 05:50","4,814.25",4
100,Entry short,S,"Jan 18, 2024, 22:50","4,812.50",4
99,Exit long,S,"Jan 18, 2024, 22:50","4,812.50",4
99,Entry long,L,"Jan 18, 2024, 17:20","4,791.50",4
98,Exit short,L,"Jan 18, 2024, 17:20","4,791.50",4
98,Entry short,S,"Jan 18, 2024, 12:50","4,786.50",4
97,Exit long,S,"Jan 18, 2024, 12:50","4,786.50",4
97,Entry long,L,"Jan 18, 2024, 05:20","4,765.75",4
96,Exit short,L,"Jan 18, 2024, 05:20","4,765.75",4
96,Entry short,S,"Jan 18, 2024, 00:35","4,770.00",4
95,Exit long,S,"Jan 18, 2024, 00:35","4,770.00",4
95,Entry long,L,"Jan 17, 2024, 04:10","4,790.25",4
94,Exit short,L,"Jan 17, 2024, 04:10","4,790.25",4
94,Entry short,S,"Jan 17, 2024, 01:25","4,797.25",4
93,Exit long,S,"Jan 17, 2024, 01:25","4,797.25",4
93,Entry long,L,"Jan 16, 2024, 20:35","4,786.00",4
92,Exit short,L,"Jan 16, 2024, 20:35","4,786.00",4
92,Entry short,S,"Jan 16, 2024, 13:25","4,798.25",4
91,Exit long,S,"Jan 16, 2024, 13:25","4,798.25",4
91,Entry long,L,"Jan 15, 2024, 09:55","4,810.50",4
90,Exit short,L,"Jan 15, 2024, 09:55","4,810.50",4
90,Entry short,S,"Jan 15, 2024, 04:10","4,817.00",4
89,Exit long,S,"Jan 15, 2024, 04:10","4,817.00",4
89,Entry long,L,"Jan 12, 2024, 03:30","4,809.50",4
88,Exit short,L,"Jan 12, 2024, 03:30","4,809.50",4
88,Entry short,S,"Jan 11, 2024, 21:20","4,810.50",4
87,Exit long,S,"Jan 11, 2024, 21:20","4,810.50",4
87,Entry long,L,"Jan 11, 2024, 02:15","4,827.50",4
86,Exit short,L,"Jan 11, 2024, 02:15","4,827.50",4
86,Entry short,S,"Jan 10, 2024, 21:00","4,826.50",4
85,Exit long,S,"Jan 10, 2024, 21:00","4,826.50",4
85,Entry long,L,"Jan 10, 2024, 14:35","4,793.00",4
84,Exit short,L,"Jan 10, 2024, 14:35","4,793.00",4
84,Entry short,S,"Jan 09, 2024, 17:15","4,784.50",4
83,Exit long,S,"Jan 09, 2024, 17:15","4,784.50",4
83,Entry long,L,"Jan 09, 2024, 02:00","4,797.25",4
82,Exit short,L,"Jan 09, 2024, 02:00","4,797.25",4
82,Entry short,S,"Jan 08, 2024, 15:45","4,746.00",4
81,Exit long,S,"Jan 08, 2024, 15:45","4,746.00",4
81,Entry long,L,"Jan 08, 2024, 05:25","4,732.00",4
80,Exit short,L,"Jan 08, 2024, 05:25","4,732.00",4
80,Entry short,S,"Jan 08, 2024, 02:25","4,741.75",4
79,Exit long,S,"Jan 08, 2024, 02:25","4,741.75",4
79,Entry long,L,"Jan 05, 2024, 20:55","4,723.50",4
78,Exit short,L,"Jan 05, 2024, 20:55","4,723.50",4
78,Entry short,S,"Jan 05, 2024, 15:30","4,736.25",4
77,Exit long,S,"Jan 05, 2024, 15:30","4,736.25",4
77,Entry long,L,"Jan 04, 2024, 21:15","4,739.75",4
76,Exit short,L,"Jan 04, 2024, 21:15","4,739.75",4
76,Entry short,S,"Jan 03, 2024, 20:25","4,768.75",4
75,Exit long,S,"Jan 03, 2024, 20:25","4,768.75",4
75,Entry long,L,"Jan 03, 2024, 05:40","4,784.00",4
74,Exit short,L,"Jan 03, 2024, 05:40","4,784.00",4
74,Entry short,S,"Jan 03, 2024, 02:10","4,786.00",4
73,Exit long,S,"Jan 03, 2024, 02:10","4,786.00",4
73,Entry long,L,"Jan 02, 2024, 11:05","4,815.50",4
72,Exit short,L,"Jan 02, 2024, 11:05","4,815.50",4
72,Entry short,S,"Dec 29, 2023, 22:05","4,814.25",4
71,Exit long,S,"Dec 29, 2023, 22:05","4,814.25",4
71,Entry long,L,"Dec 28, 2023, 07:00","4,840.25",4
70,Exit short,L,"Dec 28, 2023, 07:00","4,840.25",4
70,Entry short,S,"Dec 28, 2023, 01:25","4,836.00",4
69,Exit long,S,"Dec 28, 2023, 01:25","4,836.00",4
69,Entry long,L,"Dec 22, 2023, 19:55","4,810.50",4
68,Exit short,L,"Dec 22, 2023, 19:55","4,810.50",4
68,Entry short,S,"Dec 22, 2023, 15:25","4,806.25",4
67,Exit long,S,"Dec 22, 2023, 15:25","4,806.25",4
67,Entry long,L,"Dec 22, 2023, 03:45","4,789.75",4
66,Exit short,L,"Dec 22, 2023, 03:45","4,789.75",4
66,Entry short,S,"Dec 21, 2023, 22:45","4,796.75",4
65,Exit long,S,"Dec 21, 2023, 22:45","4,796.75",4
65,Entry long,L,"Dec 21, 2023, 12:35","4,770.50",4
64,Exit short,L,"Dec 21, 2023, 12:35","4,770.50",4
64,Entry short,S,"Dec 21, 2023, 04:00","4,761.25",4
63,Exit long,S,"Dec 21, 2023, 04:00","4,761.25",4
63,Entry long,L,"Dec 20, 2023, 21:00","4,768.50",4
62,Exit short,L,"Dec 20, 2023, 21:00","4,768.50",4
62,Entry short,S,"Dec 20, 2023, 16:35","4,824.75",4
61,Exit long,S,"Dec 20, 2023, 16:35","4,824.75",4
61,Entry long,L,"Dec 19, 2023, 21:05","4,811.75",4
60,Exit short,L,"Dec 19, 2023, 21:05","4,811.75",4
60,Entry short,S,"Dec 19, 2023, 16:30","4,812.25",4
59,Exit long,S,"Dec 19, 2023, 16:30","4,812.25",4
59,Entry long,L,"Dec 18, 2023, 09:20","4,774.50",4
58,Exit short,L,"Dec 18, 2023, 09:20","4,774.50",4
58,Entry short,S,"Dec 18, 2023, 01:30","4,777.00",4
57,Exit long,S,"Dec 18, 2023, 01:30","4,777.00",4
57,Entry long,L,"Dec 15, 2023, 13:00","4,785.25",4
56,Exit short,L,"Dec 15, 2023, 13:00","4,785.25",4
56,Entry short,S,"Dec 15, 2023, 01:15","4,773.00",4
55,Exit long,S,"Dec 15, 2023, 01:15","4,773.00",4
55,Entry long,L,"Dec 14, 2023, 06:25","4,780.25",4
54,Exit short,L,"Dec 14, 2023, 06:25","4,780.25",4
54,Entry short,S,"Dec 13, 2023, 20:20","4,732.00",4
53,Exit long,S,"Dec 13, 2023, 20:20","4,732.00",4
53,Entry long,L,"Dec 13, 2023, 04:15","4,703.00",4
52,Exit short,L,"Dec 13, 2023, 04:15","4,703.00",4
52,Entry short,S,"Dec 12, 2023, 19:45","4,688.00",4
51,Exit long,S,"Dec 12, 2023, 19:45","4,688.00",4
51,Entry long,L,"Dec 12, 2023, 05:50","4,680.25",4
50,Exit short,L,"Dec 12, 2023, 05:50","4,680.25",4
50,Entry short,S,"Dec 11, 2023, 19:40","4,673.25",4
49,Exit long,S,"Dec 11, 2023, 19:40","4,673.25",4
49,Entry long,L,"Dec 11, 2023, 02:45","4,659.25",4
48,Exit short,L,"Dec 11, 2023, 02:45","4,659.25",4
48,Entry short,S,"Dec 08, 2023, 21:45","4,662.50",4
47,Exit long,S,"Dec 08, 2023, 21:45","4,662.50",4
47,Entry long,L,"Dec 07, 2023, 20:45","4,641.50",4
46,Exit short,L,"Dec 07, 2023, 20:45","4,641.50",4
46,Entry short,S,"Dec 07, 2023, 14:20","4,612.25",4
45,Exit long,S,"Dec 07, 2023, 14:20","4,612.25",4
45,Entry long,L,"Dec 06, 2023, 07:35","4,637.50",4
44,Exit short,L,"Dec 06, 2023, 07:35","4,637.50",4
44,Entry short,S,"Dec 05, 2023, 16:55","4,633.75",4
43,Exit long,S,"Dec 05, 2023, 16:55","4,633.75",4
43,Entry long,L,"Dec 05, 2023, 03:10","4,617.25",4
42,Exit short,L,"Dec 05, 2023, 03:10","4,617.25",4
42,Entry short,S,"Dec 04, 2023, 20:30","4,618.75",4
41,Exit long,S,"Dec 04, 2023, 20:30","4,618.75",4
41,Entry long,L,"Dec 04, 2023, 02:05","4,646.25",4
40,Exit short,L,"Dec 04, 2023, 02:05","4,646.25",4
40,Entry short,S,"Dec 01, 2023, 18:45","4,656.00",4
39,Exit long,S,"Dec 01, 2023, 18:45","4,656.00",4
39,Entry long,L,"Dec 01, 2023, 13:50","4,616.25",4
38,Exit short,L,"Dec 01, 2023, 13:50","4,616.25",4
38,Entry short,S,"Nov 30, 2023, 22:25","4,624.75",4
37,Exit long,S,"Nov 30, 2023, 22:25","4,624.75",4
37,Entry long,L,"Nov 30, 2023, 17:35","4,603.00",4
36,Exit short,L,"Nov 30, 2023, 17:35","4,603.00",4
36,Entry short,S,"Nov 30, 2023, 06:15","4,617.00",4
35,Exit long,S,"Nov 30, 2023, 06:15","4,617.00",4
35,Entry long,L,"Nov 29, 2023, 07:15","4,618.75",4
34,Exit short,L,"Nov 29, 2023, 07:15","4,618.75",4
34,Entry short,S,"Nov 29, 2023, 02:25","4,619.00",4
33,Exit long,S,"Nov 29, 2023, 02:25","4,619.00",4
33,Entry long,L,"Nov 28, 2023, 21:50","4,611.50",4
32,Exit short,L,"Nov 28, 2023, 21:50","4,611.50",4
32,Entry short,S,"Nov 28, 2023, 17:30","4,626.75",4
31,Exit long,S,"Nov 28, 2023, 17:30","4,626.75",4
31,Entry long,L,"Nov 28, 2023, 08:40","4,604.00",4
30,Exit short,L,"Nov 28, 2023, 08:40","4,604.00",4
30,Entry short,S,"Nov 27, 2023, 08:05","4,607.00",4
29,Exit long,S,"Nov 27, 2023, 08:05","4,607.00",4
29,Entry long,L,"Nov 24, 2023, 15:25","4,616.75",4
28,Exit short,L,"Nov 24, 2023, 15:25","4,616.75",4
28,Entry short,S,"Nov 24, 2023, 11:15","4,622.25",4
27,Exit long,S,"Nov 24, 2023, 11:15","4,622.25",4
27,Entry long,L,"Nov 23, 2023, 11:50","4,619.25",4
26,Exit short,L,"Nov 23, 2023, 11:50","4,619.25",4
26,Entry short,S,"Nov 22, 2023, 12:25","4,610.75",4
25,Exit long,S,"Nov 22, 2023, 12:25","4,610.75",4
25,Entry long,L,"Nov 22, 2023, 07:45","4,597.50",4
24,Exit short,L,"Nov 22, 2023, 07:45","4,597.50",4
24,Entry short,S,"Nov 21, 2023, 19:35","4,600.50",4
23,Exit long,S,"Nov 21, 2023, 19:35","4,600.50",4
23,Entry long,L,"Nov 21, 2023, 00:45","4,614.00",4
22,Exit short,L,"Nov 21, 2023, 00:45","4,614.00",4
22,Entry short,S,"Nov 20, 2023, 19:35","4,608.00",4
21,Exit long,S,"Nov 20, 2023, 19:35","4,608.00",4
21,Entry long,L,"Nov 20, 2023, 15:20","4,578.50",4
20,Exit short,L,"Nov 20, 2023, 15:20","4,578.50",4
20,Entry short,S,"Nov 17, 2023, 21:25","4,581.50",4
19,Exit long,S,"Nov 17, 2023, 21:25","4,581.50",4
19,Entry long,L,"Nov 17, 2023, 06:40","4,576.00",4
18,Exit short,L,"Nov 17, 2023, 06:40","4,576.00",4
18,Entry short,S,"Nov 16, 2023, 22:00","4,573.00",4
17,Exit long,S,"Nov 16, 2023, 22:00","4,573.00",4
17,Entry long,L,"Nov 16, 2023, 13:30","4,563.00",4
16,Exit short,L,"Nov 16, 2023, 13:30","4,563.00",4
16,Entry short,S,"Nov 16, 2023, 07:05","4,566.75",4
15,Exit long,S,"Nov 16, 2023, 07:05","4,566.75",4
15,Entry long,L,"Nov 14, 2023, 20:25","4,559.50",4
14,Exit short,L,"Nov 14, 2023, 20:25","4,559.50",4
14,Entry short,S,"Nov 14, 2023, 14:55","4,538.50",4
13,Exit long,S,"Nov 14, 2023, 14:55","4,538.50",4
13,Entry long,L,"Nov 14, 2023, 13:50","4,476.75",4
12,Exit short,L,"Nov 14, 2023, 13:50","4,476.75",4
12,Entry short,S,"Nov 14, 2023, 10:15","4,486.75",4
11,Exit long,S,"Nov 14, 2023, 10:15","4,486.75",4
11,Entry long,L,"Nov 13, 2023, 01:25","4,469.75",4
10,Exit short,L,"Nov 13, 2023, 01:25","4,469.75",4
10,Entry short,S,"Nov 10, 2023, 20:40","4,472.25",4
9,Exit long,S,"Nov 10, 2023, 20:40","4,472.25",4
9,Entry long,L,"Nov 10, 2023, 11:25","4,411.75",4
8,Exit short,L,"Nov 10, 2023, 11:25","4,411.75",4
8,Entry short,S,"Nov 10, 2023, 04:35","4,414.50",4
7,Exit long,S,"Nov 10, 2023, 04:35","4,414.50",4
7,Entry long,L,"Nov 08, 2023, 18:00","4,434.00",4
6,Exit short,L,"Nov 08, 2023, 18:00","4,434.00",4
6,Entry short,S,"Nov 08, 2023, 11:10","4,443.50",4
5,Exit long,S,"Nov 08, 2023, 11:10","4,443.50",4
5,Entry long,L,"Nov 07, 2023, 22:00","4,447.00",4
4,Exit short,L,"Nov 07, 2023, 22:00","4,447.00",4
4,Entry short,S,"Nov 07, 2023, 16:35","4,446.50",4
3,Exit long,S,"Nov 07, 2023, 16:35","4,446.50",4
3,Entry long,L,"Nov 07, 2023, 03:45","4,426.00",4
2,Exit short,L,"Nov 07, 2023, 03:45","4,426.00",4
2,Entry short,S,"Nov 07, 2023, 01:00","4,426.75",4
1,Exit long,S,"Nov 07, 2023, 01:00","4,426.75",4
1,Entry long,L,"Nov 06, 2023, 19:25","4,420.50",4
