"Trade #","Type","Signal","Date/Time","Price","Contracts","Profit","Cumulative Profit","Run-up"
"141","Exit long","Open","Feb 16, 2024, 22:55","5,014.50","4","-4,550.00","97,800.00","3,450.00"
"141","Entry long","L","Feb 16, 2024, 14:35","5,037.25","4","-","-","-"
"140","Exit short","L","Feb 16, 2024, 14:35","5,037.25","4","3,250.00","102,350.00","3,800.00"
"140","Entry short","S","Feb 16, 2024, 10:00","5,053.50","4","-","-","-"
"139","Exit long","S","Feb 16, 2024, 10:00","5,053.50","4","-7,650.00","99,100.00","7,750.00"
"139","Entry long","L","Feb 15, 2024, 03:45","5,015.25","4","-","-","-"
"138","Exit short","L","Feb 15, 2024, 03:45","5,015.25","4","650.00","91,450.00","1,500.00"
"138","Entry short","S","Feb 15, 2024, 00:35","5,018.50","4","-","-","-"
"137","Exit long","S","Feb 15, 2024, 00:35","5,018.50","4","5,300.00","90,800.00","6,100.00"
"137","Entry long","L","Feb 14, 2024, 15:00","4,992.00","4","-","-","-"
"136","Exit short","L","Feb 14, 2024, 15:00","4,992.00","4","-4,450.00","85,500.00","200.00"
"136","Entry short","S","Feb 14, 2024, 01:20","4,969.75","4","-","-","-"
"135","Exit long","S","Feb 14, 2024, 01:20","4,969.75","4","-14,100.00","89,950.00","700.00"
"135","Entry long","L","Feb 12, 2024, 21:25","5,040.25","4","-","-","-"
"134","Exit short","L","Feb 12, 2024, 21:25","5,040.25","4","3,650.00","104,050.00","5,050.00"
"134","Entry short","S","Feb 12, 2024, 17:20","5,058.50","4","-","-","-"
"133","Exit long","S","Feb 12, 2024, 17:20","5,058.50","4","+2,900.00  <br> 0.23%","100,400.00  <br> 0.26%","3,100.00  <br> 0.31%"
"133","Entry long","L","Feb 12, 2024, 01:50","5,044.00","4","-","-","-"
"132","Exit short","L","Feb 12, 2024, 01:50","5,044.00","4","-4,200.00  <br> -0.42%","97,500.00  <br> -0.33%","1,350.00  <br> 0.13%"
"132","Entry short","S","Feb 09, 2024, 09:30","5,023.00","4","-","-","-"
"131","Exit long","S","Feb 09, 2024, 09:30","5,023.00","4","1,700.00  <br> 0.17%","101,700.00  <br> 0.15%","1,700.00  <br> 0.17%"
"131","Entry long","L","Feb 09, 2024, 03:20","5,014.50","4","-","-","-"
"130","Exit short","L","Feb 09, 2024, 03:20","5,014.50","4","-650.00  <br> -0.06%","100,000.00  <br> -0.06%","1,250.00  <br> 0.12%"
"130","Entry short","S","Feb 08, 2024, 17:00","5,011.25","4","-","-","-"
"129","Exit long","S","Feb 08, 2024, 17:00","5,011.25","4","450.00  <br> 0.04%","100,650.00  <br> 0.04%","1,400.00  <br> 0.14%"
"129","Entry long","L","Feb 08, 2024, 11:50","5,009.00","4","-","-","-"
"128","Exit short","L","Feb 08, 2024, 11:50","5,009.00","4","-3,850.00  <br> -0.39%","100,200.00  <br> -0.35%","350.00  <br> 0.04%"
"128","Entry short","S","Feb 07, 2024, 14:35","4,989.75","4","-","-","-"
"127","Exit long","S","Feb 07, 2024, 14:35","4,989.75","4","2,950.00  <br> 0.30%","104,050.00  <br> 0.27%","3,100.00  <br> 0.31%"
"127","Entry long","L","Feb 07, 2024, 06:15","4,975.00","4","-","-","-"
"126","Exit short","L","Feb 07, 2024, 06:15","4,975.00","4","1,350.00  <br> 0.14%","101,100.00  <br> 0.12%","1,550.00  <br> 0.16%"
"126","Entry short","S","Feb 07, 2024, 02:40","4,981.75","4","-","-","-"
"125","Exit long","S","Feb 07, 2024, 02:40","4,981.75","4","4,150.00  <br> 0.42%","99,750.00  <br> 0.38%","4,500.00  <br> 0.45%"
"125","Entry long","L","Feb 06, 2024, 01:55","4,961.00","4","-","-","-"
"124","Exit short","L","Feb 06, 2024, 01:55","4,961.00","4","3,100.00  <br> 0.31%","95,600.00  <br> 0.28%","4,200.00  <br> 0.42%"
"124","Entry short","S","Feb 05, 2024, 20:45","4,976.50","4","-","-","-"
"123","Exit long","S","Feb 05, 2024, 20:45","4,976.50","4","700.00  <br> 0.07%","92,500.00  <br> 0.06%","900.00  <br> 0.09%"
"123","Entry long","L","Feb 05, 2024, 01:15","4,973.00","4","-","-","-"
"122","Exit short","L","Feb 05, 2024, 01:15","4,973.00","4","800.00  <br> 0.08%","91,800.00  <br> 0.07%","1,450.00  <br> 0.15%"
"122","Entry short","S","Feb 02, 2024, 19:10","4,977.00","4","-","-","-"
"121","Exit long","S","Feb 02, 2024, 19:10","4,977.00","4","4,350.00  <br> 0.44%","91,000.00  <br> 0.40%","5,650.00  <br> 0.57%"
"121","Entry long","L","Feb 02, 2024, 04:30","4,955.25","4","-","-","-"
"120","Exit short","L","Feb 02, 2024, 04:30","4,955.25","4","-6,050.00  <br> -0.61%","86,650.00  <br> -0.55%","1,400.00  <br> 0.14%"
"120","Entry short","S","Feb 01, 2024, 21:30","4,925.00","4","-","-","-"
"119","Exit long","S","Feb 01, 2024, 21:30","4,925.00","4","9,900.00  <br> 1.02%","92,700.00  <br> 0.91%","10,300.00  <br> 1.06%"
"119","Entry long","L","Feb 01, 2024, 08:10","4,875.50","4","-","-","-"
"118","Exit short","L","Feb 01, 2024, 08:10","4,875.50","4","1,650.00  <br> 0.17%","82,800.00  <br> 0.15%","2,000.00  <br> 0.20%"
"118","Entry short","S","Feb 01, 2024, 03:10","4,883.75","4","-","-","-"
"117","Exit long","S","Feb 01, 2024, 03:10","4,883.75","4","-8,500.00  <br> -0.86%","81,150.00  <br> -0.78%","2,150.00  <br> 0.22%"
"117","Entry long","L","Jan 31, 2024, 13:40","4,926.25","4","-","-","-"
"116","Exit short","L","Jan 31, 2024, 13:40","4,926.25","4","2,100.00  <br> 0.21%","89,650.00  <br> 0.19%","2,750.00  <br> 0.28%"
"116","Entry short","S","Jan 31, 2024, 09:25","4,936.75","4","-","-","-"
"115","Exit long","S","Jan 31, 2024, 09:25","4,936.75","4","300.00  <br> 0.03%","87,550.00  <br> 0.03%","550.00  <br> 0.06%"
"115","Entry long","L","Jan 30, 2024, 22:45","4,935.25","4","-","-","-"
"114","Exit short","L","Jan 30, 2024, 22:45","4,935.25","4","3,750.00  <br> 0.38%","87,250.00  <br> 0.35%","3,900.00  <br> 0.39%"
"114","Entry short","S","Jan 30, 2024, 18:10","4,954.00","4","-","-","-"
"113","Exit long","S","Jan 30, 2024, 18:10","4,954.00","4","-50.00  <br> -0.01%","83,500.00  <br> 0.00%","300.00  <br> 0.03%"
"113","Entry long","L","Jan 30, 2024, 03:35","4,954.25","4","-","-","-"
"112","Exit short","L","Jan 30, 2024, 03:35","4,954.25","4","-8,600.00  <br> -0.88%","83,550.00  <br> -0.79%","100.00  <br> 0.01%"
"112","Entry short","S","Jan 29, 2024, 04:40","4,911.25","4","-","-","-"
"111","Exit long","S","Jan 29, 2024, 04:40","4,911.25","4","-650.00  <br> -0.07%","92,150.00  <br> -0.06%","1,850.00  <br> 0.19%"
"111","Entry long","L","Jan 26, 2024, 19:05","4,914.50","4","-","-","-"
"110","Exit short","L","Jan 26, 2024, 19:05","4,914.50","4","50.00  <br> 0.01%","92,800.00  <br> 0.00%","1,100.00  <br> 0.11%"
"110","Entry short","S","Jan 26, 2024, 11:15","4,914.75","4","-","-","-"
"109","Exit long","S","Jan 26, 2024, 11:15","4,914.75","4","1,800.00  <br> 0.18%","92,750.00  <br> 0.16%","3,950.00  <br> 0.40%"
"109","Entry long","L","Jan 25, 2024, 19:25","4,905.75","4","-","-","-"
"108","Exit short","L","Jan 25, 2024, 19:25","4,905.75","4","-600.00  <br> -0.06%","90,950.00  <br> -0.05%","1,450.00  <br> 0.15%"
"108","Entry short","S","Jan 25, 2024, 08:10","4,902.75","4","-","-","-"
"107","Exit long","S","Jan 25, 2024, 08:10","4,902.75","4","-550.00  <br> -0.06%","91,550.00  <br> -0.05%","5,550.00  <br> 0.57%"
"107","Entry long","L","Jan 24, 2024, 04:45","4,905.50","4","-","-","-"
"106","Exit short","L","Jan 24, 2024, 04:45","4,905.50","4","-2,900.00  <br> -0.30%","92,100.00  <br> -0.26%","400.00  <br> 0.04%"
"106","Entry short","S","Jan 23, 2024, 21:30","4,891.00","4","-","-","-"
"105","Exit long","S","Jan 23, 2024, 21:30","4,891.00","4","2,800.00  <br> 0.29%","95,000.00  <br> 0.26%","3,800.00  <br> 0.39%"
"105","Entry long","L","Jan 23, 2024, 18:30","4,877.00","4","-","-","-"
"104","Exit short","L","Jan 23, 2024, 18:30","4,877.00","4","2,300.00  <br> 0.24%","92,200.00  <br> 0.21%","2,850.00  <br> 0.29%"
"104","Entry short","S","Jan 23, 2024, 14:25","4,888.50","4","-","-","-"
"103","Exit long","S","Jan 23, 2024, 14:25","4,888.50","4","750.00  <br> 0.08%","89,900.00  <br> 0.07%","750.00  <br> 0.08%"
"103","Entry long","L","Jan 22, 2024, 17:50","4,884.75","4","-","-","-"
"102","Exit short","L","Jan 22, 2024, 17:50","4,884.75","4","-3,050.00  <br> -0.31%","89,150.00  <br> -0.28%","1,950.00  <br> 0.20%"
"102","Entry short","S","Jan 19, 2024, 20:10","4,869.50","4","-","-","-"
"101","Exit long","S","Jan 19, 2024, 20:10","4,869.50","4","11,050.00  <br> 1.15%","92,200.00  <br> 1.02%","11,200.00  <br> 1.16%"
"101","Entry long","L","Jan 19, 2024, 05:50","4,814.25","4","-","-","-"
"100","Exit short","L","Jan 19, 2024, 05:50","4,814.25","4","-350.00  <br> -0.04%","81,150.00  <br> -0.03%","800.00  <br> 0.08%"
"100","Entry short","S","Jan 18, 2024, 22:50","4,812.50","4","-","-","-"
"99","Exit long","S","Jan 18, 2024, 22:50","4,812.50","4","4,200.00  <br> 0.44%","81,500.00  <br> 0.39%","5,100.00  <br> 0.53%"
"99","Entry long","L","Jan 18, 2024, 17:20","4,791.50","4","-","-","-"
"98","Exit short","L","Jan 18, 2024, 17:20","4,791.50","4","-1,000.00  <br> -0.10%","77,300.00  <br> -0.09%","1,350.00  <br> 0.14%"
"98","Entry short","S","Jan 18, 2024, 12:50","4,786.50","4","-","-","-"
"97","Exit long","S","Jan 18, 2024, 12:50","4,786.50","4","4,150.00  <br> 0.44%","78,300.00  <br> 0.39%","4,550.00  <br> 0.48%"
"97","Entry long","L","Jan 18, 2024, 05:20","4,765.75","4","-","-","-"
"96","Exit short","L","Jan 18, 2024, 05:20","4,765.75","4","850.00  <br> 0.09%","74,150.00  <br> 0.08%","1,000.00  <br> 0.10%"
"96","Entry short","S","Jan 18, 2024, 00:35","4,770.00","4","-","-","-"
"95","Exit long","S","Jan 18, 2024, 00:35","4,770.00","4","-4,050.00  <br> -0.42%","73,300.00  <br> -0.39%","100.00  <br> 0.01%"
"95","Entry long","L","Jan 17, 2024, 04:10","4,790.25","4","-","-","-"
"94","Exit short","L","Jan 17, 2024, 04:10","4,790.25","4","1,400.00  <br> 0.15%","77,350.00  <br> 0.13%","1,600.00  <br> 0.17%"
"94","Entry short","S","Jan 17, 2024, 01:25","4,797.25","4","-","-","-"
"93","Exit long","S","Jan 17, 2024, 01:25","4,797.25","4","2,250.00  <br> 0.24%","75,950.00  <br> 0.21%","2,950.00  <br> 0.31%"
"93","Entry long","L","Jan 16, 2024, 20:35","4,786.00","4","-","-","-"
"92","Exit short","L","Jan 16, 2024, 20:35","4,786.00","4","2,450.00  <br> 0.26%","73,700.00  <br> 0.23%","3,750.00  <br> 0.39%"
"92","Entry short","S","Jan 16, 2024, 13:25","4,798.25","4","-","-","-"
"91","Exit long","S","Jan 16, 2024, 13:25","4,798.25","4","-2,450.00  <br> -0.25%","71,250.00  <br> -0.23%","1,450.00  <br> 0.15%"
"91","Entry long","L","Jan 15, 2024, 09:55","4,810.50","4","-","-","-"
"90","Exit short","L","Jan 15, 2024, 09:55","4,810.50","4","1,300.00  <br> 0.13%","73,700.00  <br> 0.12%","1,300.00  <br> 0.13%"
"90","Entry short","S","Jan 15, 2024, 04:10","4,817.00","4","-","-","-"
"89","Exit long","S","Jan 15, 2024, 04:10","4,817.00","4","1,500.00  <br> 0.16%","72,400.00  <br> 0.14%","5,400.00  <br> 0.56%"
"89","Entry long","L","Jan 12, 2024, 03:30","4,809.50","4","-","-","-"
"88","Exit short","L","Jan 12, 2024, 03:30","4,809.50","4","200.00  <br> 0.02%","70,900.00  <br> 0.02%","1,500.00  <br> 0.16%"
"88","Entry short","S","Jan 11, 2024, 21:20","4,810.50","4","-","-","-"
"87","Exit long","S","Jan 11, 2024, 21:20","4,810.50","4","-3,400.00  <br> -0.35%","70,700.00  <br> -0.32%","2,100.00  <br> 0.22%"
"87","Entry long","L","Jan 11, 2024, 02:15","4,827.50","4","-","-","-"
"86","Exit short","L","Jan 11, 2024, 02:15","4,827.50","4","-200.00  <br> -0.02%","74,100.00  <br> -0.02%","4,150.00  <br> 0.43%"
"86","Entry short","S","Jan 10, 2024, 21:00","4,826.50","4","-","-","-"
"85","Exit long","S","Jan 10, 2024, 21:00","4,826.50","4","6,700.00","74,300.00","6,950.00"
"85","Entry long","L","Jan 10, 2024, 14:35","4,793.00","4","-","-","-"
"84","Exit short","L","Jan 10, 2024, 14:35","4,793.00","4","-1,700.00","67,600.00","150.00"
"84","Entry short","S","Jan 09, 2024, 17:15","4,784.50","4","-","-","-"
"83","Exit long","S","Jan 09, 2024, 17:15","4,784.50","4","-2,550.00","69,300.00","300.00"
"83","Entry long","L","Jan 09, 2024, 02:00","4,797.25","4","-","-","-"
"82","Exit short","L","Jan 09, 2024, 02:00","4,797.25","4","-10,250.00","71,850.00","1,050.00"
"82","Entry short","S","Jan 08, 2024, 15:45","4,746.00","4","-","-","-"
"81","Exit long","S","Jan 08, 2024, 15:45","4,746.00","4","2,800.00","82,100.00","3,300.00"
"81","Entry long","L","Jan 08, 2024, 05:25","4,732.00","4","-","-","-"
"80","Exit short","L","Jan 08, 2024, 05:25","4,732.00","4","1,950.00","79,300.00","2,300.00"
"80","Entry short","S","Jan 08, 2024, 02:25","4,741.75","4","-","-","-"
"79","Exit long","S","Jan 08, 2024, 02:25","4,741.75","4","3,650.00","77,350.00","3,950.00"
"79","Entry long","L","Jan 05, 2024, 20:55","4,723.50","4","-","-","-"
"78","Exit short","L","Jan 05, 2024, 20:55","4,723.50","4","2,550.00","73,700.00","2,900.00"
"78","Entry short","S","Jan 05, 2024, 15:30","4,736.25","4","-","-","-"
"77","Exit long","S","Jan 05, 2024, 15:30","4,736.25","4","-700.00","71,150.00","750.00"
"77","Entry long","L","Jan 04, 2024, 21:15","4,739.75","4","-","-","-"
"76","Exit short","L","Jan 04, 2024, 21:15","4,739.75","4","5,800.00","71,850.00","6,350.00"
"76","Entry short","S","Jan 03, 2024, 20:25","4,768.75","4","-","-","-"
